,0
1421,884330
1422,684330
1423,788310
1424,784312
1425,681310
1426,881310
1427,785330
1428,783310
1429,782310
1430,783330
1431,785340
1432,781340
1433,782320
1434,781310
1435,784320
1436,785320
1437,783350
1438,684320
1439,884320
1440,784310
1441,685320
1442,885320
1443,789330
1444,784330
1445,681330
1446,881330
1447,786310
1448,783340
1449,781330
1450,783320
1451,688310
1452,888310
1453,785350
1454,788330
1455,787310
1456,687310
1457,887310
1458,885310
1459,685310
1460,789300
1461,782330
1462,682330
1463,882330
1464,889320
1465,689320
1466,789320
1467,925365
1468,925566
1469,925514
1470,925569
1471,925515
1472,926463
1473,925769
1474,926568
1475,179083
1476,925678
1477,254436
1478,254488
1479,781910
1480,767200
1481,667200
1482,867200
1483,120057
1484,110322
1485,925858
1486,926537
1487,926385
1488,170495
1489,778001
1490,154001
1491,154005
1492,154010
1493,154011
1494,154013
1495,154389
1496,154012
1497,154000
1498,154383
1499,158111
1500,158110
1501,158104
1502,154019
1503,153376
1504,400048
1505,926114
1506,175013
1507,175019
1508,175021
1509,540007
1510,153195
1511,153560
1512,153230
1513,925236
1514,154394
1515,154393
1516,154014
1517,154015
1518,154016
1519,154017
1520,154027
1521,154025
1522,154026
1523,154028
1524,154029
1525,154030
1526,158107
1527,926228
1528,926218
1529,926413
1530,510356
1531,851500
1532,651500
1533,791181
1534,193186
1535,193347
1536,193189
1537,254454
1538,240224
1539,130004
1540,925171
1541,131000
1542,926245
1543,925736
1544,925890
1545,925555
1546,910808
1547,935100
1548,910809
1549,257007
1550,201057
1551,154052
1552,154053
1553,150134
1554,150119
1555,153550
1556,153496
1557,240120
1558,153253
1559,153258
1560,926361
1561,154459
1562,926406
1563,891901
1564,791901
1565,691901
1566,791690
1567,731010
1568,732300
1569,632300
1570,925684
1571,925680
1572,623000
1573,723000
1574,152370
1575,691902
1576,791902
1577,891902
1578,925581
1579,844010
1580,740300
1581,744010
1582,644010
1583,153495
1584,925262
1585,925034
1586,633100
1587,733100
1588,160237
1589,153109
1590,158112
1591,153181
1592,153074
1593,153050
1594,153073
1595,153184
1596,158703
1597,153187
1598,153107
1599,158301
1600,158701
1601,158181
1602,153111
1603,153183
1604,153497
1605,153132
1606,158198
1607,153989
1608,153113
1609,120150
1610,120105
1611,120128
1612,120103
1613,153257
1614,711100
1615,193049
1616,671200
1617,771200
1618,871200
1619,120192
1620,115000
1621,789200
1622,254435
1623,154368
1624,925669
1625,160061
1626,114637
1627,120126
1628,732400
1629,762700
1630,925348
1631,925670
1632,681920
1633,781920
1634,881920
1635,153190
1636,150154
1637,153498
1638,925334
1639,925350
1640,925360
1641,844020
1642,744020
1643,644020
1644,160008
1645,167008
1646,158704
1647,153977
1648,153547
1649,160289
1650,193190
1651,153856
1652,153857
1653,167289
1654,153307
1655,153990
1656,153499
1657,153988
1658,153188
1659,158197
1660,153076
1661,925573
1662,153180
1663,153051
1664,751213
1665,153077
1666,158702
1667,254431
1668,20003
1669,154076
1670,732100
1671,672100
1672,787900
1673,772100
1674,687900
1675,887900
1676,891590
1677,691590
1678,791590
1679,784900
1680,762600
1681,662600
1682,862600
1683,852100
1684,652100
1685,752100
1686,210631
1687,762200
1688,662200
1689,862200
1690,731020
1691,832100
1692,632100
1693,167258
1694,160258
1695,167012
1696,160012
1697,160134
1698,167134
1699,791190
1700,167062
1701,160062
1702,785810
1703,784810
1704,786810
1705,788820
1706,783810
1707,782802
1708,120106
1709,120015
1710,120116
1711,153186
1712,154077
1713,691904
1714,891904
1715,791904
1716,744021
1717,740200
1718,844021
1719,644021
1720,120129
1721,765710
1722,665710
1723,153552
1724,844030
1725,644030
1726,744040
1727,671280
1728,771280
1729,871280
1730,871300
1731,671300
1732,771300
1733,160063
1734,925453
1735,665730
1736,765707
1737,765730
1738,865730
1739,153316
1740,153992
1741,254474
1742,323001
1743,910814
1744,254422
1745,254457
1746,254423
1747,254442
1748,160523
1749,167523
1750,167391
1751,160391
1752,160290
1753,167290
1754,160487
1755,167487
1756,926423
1757,153331
1758,153859
1759,840100
1760,740100
1761,640100
1762,193050
1763,510897
1764,510008
1765,510896
1766,510126
1767,153858
1768,257006
1769,631040
1770,831040
1771,158199
1772,153075
1773,154079
1774,193046
1775,926136
1776,751500
1777,125200
1778,125270
1779,125007
1780,125210
1781,125081
1782,125140
1783,125070
1784,925526
1785,240129
1786,925993
1787,153112
1788,158706
1789,240127
1790,925695
1791,240137
1792,153332
1793,120035
1794,170077
1795,170039
1796,170017
1797,170216
1798,170057
1799,170155
1800,170115
1801,170176
1802,170132
1803,158401
1804,153259
1805,153260
1806,153043
1807,925361
1808,154371
1809,153224
1810,153018
1811,153213
1812,153203
1813,153217
1814,153226
1815,153013
1816,153223
1817,153026
1818,153208
1819,153027
1820,153014
1821,153009
1822,153015
1823,153021
1824,153235
1825,153025
1826,153024
1827,153004
